000,자사타,97,172
001,하타사,54,141
002,차파가,92,155
003,차자가,76,173
004,라파바,59,181
005,가타사,43,180
006,차다라,42,170
007,사라카,70,150
008,나나나,73,156
009,가카마,40,197
010,하가자,69,159
011,마다파,81,143
012,다나마,71,153
013,자가아,81,200
014,사자차,41,187
015,아가차,88,152
016,라가타,40,160
017,마다바,43,164
018,바아가,93,175
019,파사바,77,169
020,파마다,79,140
021,아가가,76,189
022,바타아,42,170
023,가사아,77,166
024,마바바,59,150
025,자사자,59,162
026,바타파,66,160
027,자가사,74,195
028,마가카,73,171
029,사자다,48,143
030,자하자,58,161
031,타카하,83,200
032,다하차,57,193
033,카나파,73,195
034,자가카,52,152
035,자차바,92,167
036,라마타,46,140
037,차사파,79,184
038,타카사,89,189
039,파라마,98,146
040,사차차,53,167
041,라마타,97,179
042,라자카,89,198
043,자가마,46,144
044,하다바,42,169
045,하가사,46,152
046,다바마,54,191
047,사타가,56,182
048,하차마,82,170
049,타카차,90,199
050,다라다,41,191
051,라마사,90,159
052,카차파,56,157
053,사사가,46,166
054,카사라,41,147
055,나가차,87,189
056,타사사,50,142
057,하가차,68,175
058,바타아,68,158
059,아마타,71,166
060,라하바,93,183
061,하파바,86,194
062,하라아,79,163
063,라마나,99,165
064,파바사,97,145
065,가자다,58,183
066,카나라,58,154
067,바라자,70,148
068,카라타,49,179
069,사파라,48,184
070,타사카,53,171
071,마자파,49,162
072,마마가,85,153
073,아파카,94,164
074,자마나,68,174
075,아자카,49,197
076,사카타,80,140
077,라아나,60,164
078,라다바,60,186
079,가나파,53,160
080,파가타,93,163
081,라차하,47,180
082,타라가,87,166
083,파나나,89,150
084,나차파,90,151
085,아하사,66,151
086,라하라,87,155
087,가가마,43,186
088,사라자,56,189
089,카자가,74,147
090,나차나,87,145
091,마라사,40,186
092,사가사,65,154
093,다마파,71,159
094,파타라,52,180
095,바타라,52,147
096,파라하,87,161
097,사마다,70,167
098,사가바,90,144
099,사타다,42,143
100,마자사,93,184
101,사바라,65,165
102,다나가,43,166
103,카카가,41,185
104,파다하,41,176
105,사아바,81,181
106,파자라,91,197
107,마마카,66,153
108,나다라,56,160
109,사사차,72,146
110,사마라,96,166
111,다타다,84,161
112,다자타,86,161
113,가마가,65,149
114,타라타,73,200
115,사하파,70,143
116,파사하,66,192
117,다카카,84,162
118,다타자,85,185
119,아카차,87,174
120,가다나,78,170
121,타아하,57,165
122,가차다,75,156
123,자자자,42,157
124,가마차,79,176
125,마차나,99,162
126,하다카,98,159
127,파다나,60,158
128,라가마,40,191
129,마타파,76,178
130,바다하,57,149
131,아라가,96,158
132,하아파,55,183
133,사사사,56,143
134,차아타,91,148
135,카나타,59,184
136,하사타,84,168
137,파아다,45,198
138,마나차,93,199
139,타다파,64,195
140,바타가,42,152
141,자가나,51,174
142,하아타,58,168
143,마가카,80,185
144,나다차,41,151
145,하사타,80,191
146,타카파,53,147
147,마카자,41,185
148,라타바,55,167
149,하하차,64,166
150,아나자,68,152
151,가마바,55,160
152,나차가,85,173
153,나아차,52,147
154,차아라,67,153
155,차타사,96,159
156,파차차,89,167
157,자아가,96,149
158,아사자,53,174
159,바파파,94,192
160,다바카,91,164
161,바다나,78,144
162,라자하,100,184
163,아하아,81,159
164,바카카,79,147
165,자아라,71,143
166,아파카,50,193
167,마아나,78,158
168,하다아,87,174
169,다아마,72,190
170,사자바,76,149
171,라라차,45,152
172,사카나,55,158
173,차아자,91,165
174,나파타,76,144
175,아파자,97,186
176,다바다,96,197
177,파아마,60,164
178,라다자,67,162
179,차카마,63,188
180,차나다,53,148
181,파바자,67,156
182,마마아,71,152
183,가타타,97,167
184,하파카,77,147
185,파사파,65,200
186,하가다,49,190
187,자라자,45,151
188,사하바,41,197
189,마마카,60,172
190,아가아,89,152
191,차하아,54,195
192,라아다,91,158
193,라파아,75,169
194,다사가,89,157
195,하파파,83,166
196,파라바,58,190
197,하마차,83,168
198,가가하,73,161
199,마파하,48,141
